mq5,mq9,mq135,humidity,temp,pressure,dust
118.33,117.32,161.77,86,29,985,2.66
144.2,137.69,109.97,86,29,985,2.55
140.57,134.7,97.16,86,29,985,2.48
140.37,134.25,94.56,86,29,985,2.49
140.31,134.74,94.19,86,29,985,2.56
140.66,135.19,94.23,86,29,985,2.61
140.28,134.54,93.76,86,29,986,3.83
139.96,133.72,93.56,86,29,985,3.27
140.22,134.33,93.21,86,29,985,2.64
141.03,133.51,93.77,84,29,985,2.46
141.15,133.8,94.02,86,29,986,3.08
141.32,133.32,94.34,86,29,986,2.46
140.75,132.41,92.69,86,29,986,3.93
140.48,131.63,91.25,86,29,986,4.7
140.05,130.61,90.12,86,29,985,6.7
139.7,129.93,88.9,85,28,985,3.31
139.38,129.88,88.28,85,28,985,3.41
137.76,119.66,91.24,69,27,986,2.43
136.51,118.24,87.35,69,27,986,2.35
135.35,117.95,82.16,69,27,986,2.38
133.58,113.78,79.47,69,27,986,2.42
134.22,116.53,79.19,69,27,986,3.58
133.26,114.95,77.22,69,27,986,3.41
132.31,111.93,77.55,69,27,986,2.17
133.55,115.71,78.73,70,27,986,2.27
133.26,115.21,78.22,70,27,986,2.58
132.42,112.43,78.12,69,27,986,4.84
134.07,115.26,81.08,70,27,986,2.3
133.38,116.82,77.18,69,27,986,2.44
132.83,116.08,77.12,69,27,986,2.35
133.06,117.29,75.58,69,27,986,2.26
131.87,113.12,74.35,70,27,986,2.29
132.89,114.89,75.9,69,27,986,2.33
132.97,116.97,75.14,69,27,986,2.27
130.94,110.77,73.02,69,27,986,2.14
129.38,103.76,74.56,68,27,986,2.05
133.32,113.21,81.24,66,27,986,2.18
131.78,111.56,75.75,68,27,986,2.69
131.29,110.93,74.7,68,27,986,2.12
130.88,109.14,74.61,68,27,986,2.18
130.19,105.27,79.12,68,27,986,2.09
131.2,106.27,79.82,67,27,986,2.12
133.06,114.99,76.94,68,27,986,2.36
132.31,115.03,74.39,68,27,986,2.42
132.31,115.56,74.67,68,27,986,2.34
132.22,115.59,73.75,66,27,986,2.26
131.64,113.76,73,68,27,986,2.62
131.58,113,74.9,69,27,986,2.3
132.83,116.26,77.05,67,27,986,2.44
132.48,116.5,74.83,69,27,986,2.47
132.34,116.12,75.03,67,27,986,2.42
131.78,113.29,74.28,67,27,986,2.4
131.99,115.37,73.16,69,27,986,2.44
132.16,115.88,73.67,69,27,986,2.34
131.73,113.35,73.41,68,27,986,2.36
131.87,114.63,73.75,68,27,986,2.43
131.99,115.71,74.08,66,27,986,2.43
131.78,115.42,73.08,68,27,986,2.38
131.12,112.04,73.65,68,27,986,2.22
130.19,108.3,72.93,68,27,986,2.42
129.96,107.29,76.11,67,27,986,2.16
132.16,114.12,74.55,68,27,986,2.29
132.05,114.8,74.27,67,27,986,2.33
130.86,111.9,71.68,64,27,986,2.27
131.15,115.15,75.09,67,27,982,4.23
132.31,117.39,77.21,70,27,983,3.31
131.81,115.78,74.45,66,28,982,8.23
131.23,114.38,72.13,63,28,982,3.3
129.46,108.94,71.19,66,28,982,3.29
127.41,99.9,73.58,65,27,982,3.12
126.16,93.92,76.99,63,27,982,2.79
129.93,99.13,87,65,27,982,2.62
127.75,98.54,92.96,64,27,982,2.51
130.71,108.92,103.19,64,27,983,2.56
137.67,118.92,111.52,64,27,982,2.52
142.66,129.45,119.17,64,27,983,2.58
146.81,130.87,121.86,64,27,983,2.47
147.53,132.08,123.52,64,27,983,2.43
149.79,135.68,126.23,64,27,983,2.44
149.3,132.97,125.25,64,27,983,2.46
149.07,132.99,125.58,64,27,983,2.47
150.08,135.19,126.88,64,27,983,2.47
151.56,137.51,128.33,64,27,983,2.48
152.32,140.31,130.09,65,27,983,2.44
155.22,144.51,132.31,65,27,983,2.47
157.45,147.61,134.66,65,27,983,2.43
154.11,142.75,133.41,65,27,983,2.46
156.23,144.92,133.81,65,27,983,2.44
154.64,140.78,132.21,65,27,983,2.46
153.91,132.81,127.64,65,27,983,2.42
153.8,143.72,132.56,65,27,983,2.64
155.36,144.06,133,65,27,983,2.58
155.68,145.59,134.06,64,27,983,2.43
155.45,145.51,135.76,65,27,983,2.44
156.78,145.4,134.49,65,27,983,2.44
158.38,148.62,135.4,64,27,983,2.43
159.59,152.21,136.87,65,27,983,2.43
156.87,146.27,135.37,65,27,983,2.38
159.88,152.17,137.23,65,27,983,2.44
160.18,151.14,137.01,65,27,983,2.48
162.52,154.92,138.93,65,27,983,2.51
161.19,153.69,138.44,65,27,983,2.47
161.51,151.45,137.84,65,27,983,2.47
159.74,150.22,136.37,64,27,983,2.4
130.36,117.62,75.19,74,27,985,3.06
130.39,117.68,75.25,72,27,985,2.23
130.45,118.04,74.96,72,27,985,7.51
130.36,117.68,74.74,72,27,985,2.4
130.31,117.32,74.38,72,27,985,2.22
128.8,112.75,74.64,73,27,986,2.14
127.67,103.6,75.06,73,27,986,2.01
128.97,105.19,76.81,71,27,986,2
127.09,99.72,74.69,72,27,986,1.95
130.04,117.17,76.21,72,27,986,2.31
135.58,117.62,89.31,85,28,986,6.35
135,117.73,87.73,87,28,986,4.66
133.41,119.4,85.47,87,28,986,8.28
133.38,117.41,84.4,86,28,986,4.43
133.76,117.53,83.84,86,28,986,3.66
133,116.4,83.38,83,28,986,3.53
132.31,115.68,83.25,85,28,986,3.43
132.42,116.19,82.39,83,28,986,7.58
133.73,117.39,84.97,87,28,986,3.62
133.15,116.9,83.71,85,28,986,3.53
132.13,116.47,81.3,85,28,986,3.52
131.64,114.6,79.36,85,28,986,3.54
131.03,114.12,79.77,86,28,986,3.51
131.78,116.26,80.86,86,28,986,3.53
131.58,115.59,80.78,87,28,986,3.52
131.47,115.87,80.18,87,28,986,3.45
131.06,114.32,79.36,87,28,986,3.39
130.94,112.33,81.1,87,28,986,3.3
131.47,115.09,81.95,87,28,986,3.57
131.29,115.49,79.82,88,28,986,3.51
131.32,115.37,79.97,88,28,986,3.47
131.29,115.05,79.21,88,28,986,3.48
131.15,115.08,78.77,88,28,986,3.44
131.55,115.69,82.82,87,28,986,3.53
131.55,114.83,82.25,87,28,986,3.6
131.29,115.23,81.36,87,28,986,3.53
131.38,114.66,81.95,87,28,986,3.47
131.15,114.49,80.5,87,28,986,3.41
131.41,115.11,81.29,87,28,986,3.48
131.03,113.67,79.37,86,28,986,3.44
130.8,112.58,78.39,86,28,986,3.48
131.03,113.86,79.62,86,28,986,3.48
130.8,113.89,78.78,85,28,986,3.49
130.65,112.62,79.09,85,28,986,3.41
130.86,113.21,78.39,85,28,986,3.38
130.62,113,77.96,85,28,986,3.51
130.77,113.22,78.05,85,28,986,3.43
130.77,113.49,78.44,85,28,986,3.53
